fon,borsa_kodu,isin_kod
DENİZ PORTFÖY DİNAMO SERBEST FON,DDF,TRYDNZP00199
DENİZ PORTFÖY ECEM SERBEST (DÖVİZ) ÖZEL FON,DZZ,TRYDNZP00116
DENİZ PORTFÖY EGE SERBEST (DÖVİZ) ÖZEL FON,DPE,TRYDNZP00108
DENİZ PORTFÖY ENDA SERBEST ÖZEL FON,DPV,TRYDNZP00181
DENİZ PORTFÖY ESMER SERBEST (DÖVİZ) ÖZEL FON,DPG,TRYDNZP00132
DENİZ PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU,DBH,TRYDZBK00260
DENİZ PORTFÖY FRS SERBEST (DÖVİZ) ÖZEL FON,DPC,TRYDNZP00124
DENİZ PORTFÖY HLC SERBEST (DÖVİZ) ÖZEL FON,DPP,TRYDNZP00165
DENİZ PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),DAH,TRMDAHWWWWW7
DENİZ PORTFÖY INND SERBEST (DÖVİZ) ÖZEL FON,DKF,TRYDNZP00363
DENİZ PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,DBK,TRYDZBK00187
DENİZ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU,DPK,TRYDNZP00058
DENİZ PORTFÖY LARA SERBEST (DÖVİZ) ÖZEL FON,PLS,TRYDNZP00298
DENİZ PORTFÖY MERT SERBEST (DÖVİZ) ÖZEL FON,DSM,TRYDNZP00223
DENİZ PORTFÖY NECLA SERBEST (DÖVİZ) ÖZEL FON,DNO,TRYDNZP00322
DENİZ PORTFÖY NEVA SERBEST (DÖVİZ) ÖZEL FON,DPN,TRYDNZP00157
DENİZ PORTFÖY NİL SERBEST (DÖVİZ) ÖZEL FON,DPL,TRYDNZP00173
DENİZ PORTFÖY OLMİ SERBEST (DÖVİZ) ÖZEL FON,DOS,TRYDNZP00348
DENİZ PORTFÖY ORTA VADELİ BORÇLANMA ARAÇLARI FONU,DBB,TRYDZBK00013
DENİZ PORTFÖY PARA PİYASASI FONU,DLY,TRMDLYWWWWW9
DENİZ PORTFÖY RÜ SERBEST (DÖVİZ) ÖZEL FON,DSC,TRYDNZP00330
DENİZ PORTFÖY SERBEST (DÖVİZ) FON,DPB,TRYDNZP00025
DENİZ PORTFÖY SK SERBEST (DÖVİZ) ÖZEL FON,DDP,TRYDNZP00355
DENİZ PORTFÖY SSM SERBEST (DÖVİZ) ÖZEL FON,DTT,TRYDNZP00389
DENİZ PORTFÖY TÜRKIZ SERBEST(DÖVİZ) ÖZEL FON,DAZ,TRYDNZP00280
DENİZ PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,DZT,TRMDZTWWWWW9
DENİZ PORTFÖY YAZ SERBEST (DÖVİZ) ÖZEL FON,DPZ,TRYDNZP00215
DENİZ PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,DBZ,TRYDZBK00195
DENİZ PORTFÖY İKİNCİ SERBEST (DÖVİZ) FON,DSD,TRYDNZP00231
DENİZ PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST FON,DPI,TRYDNZP00306
FİBA PORTFÖY ALTIN FONU,FIB,TRYFIBA00015
FİBA PORTFÖY BORÇLANMA ARAÇLARI FONU,FIT,TRYBEUR00033
FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ)FONU,FPE,TRYFIBP00039
FİBA PORTFÖY HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN FON),FPH,TRYFIBP00021
FİBA PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI FONU,FPK,TRYFIBP00013
FİBA PORTFÖY KISA VADELİ SERBEST FON,FSF,TRYFIBP00070
FİBA PORTFÖY PARA PİYASASI FONU,FIL,TRYBEUR00017
FİBA PORTFÖY SERBEST (DÖVİZ) FON,FFS,TRYFIBP00054
